Date,Open,High,Low,Close,Adj Close,Volume
1993-02-05,1.261432,1.287712,1.261432,1.274572,1.070553,10212000
1993-02-08,1.261432,1.287712,1.261432,1.261432,1.059516,587900
1993-02-09,1.261432,1.287712,1.261432,1.261432,1.059516,695200
1993-02-10,1.274572,1.287712,1.261432,1.261432,1.059516,546800
1993-02-11,1.287712,1.287712,1.261432,1.261432,1.059516,642000
1993-02-12,1.274572,1.274572,1.261432,1.261432,1.059516,487000
1993-02-16,1.261432,1.261432,1.103753,1.103753,0.927076,1067300
1993-02-17,1.051193,1.103753,1.051193,1.051193,0.882930,951300
1993-02-18,1.051193,1.077473,1.051193,1.051193,0.882930,197800
1993-02-19,1.077473,1.077473,1.051193,1.051193,0.882930,508800
1993-02-22,1.051193,1.077473,1.051193,1.051193,0.882930,339500
1993-02-23,1.051193,1.051193,0.919794,0.919794,0.772564,471800
1993-02-24,0.919794,0.998633,0.893514,0.919794,0.772564,207300
1993-02-25,0.919794,1.103753,0.919794,1.103753,0.927076,362300
1993-02-26,1.077473,1.156312,1.024913,1.077473,0.905003,2217300
1993-03-01,1.156312,1.156312,1.103753,1.143173,0.960186,470700
1993-03-02,1.103753,1.156312,1.103753,1.130033,0.949149,319600
1993-03-03,1.156312,1.182592,1.130033,1.156312,0.971223,1847400
1993-03-04,1.208872,1.208872,1.156312,1.182592,0.993296,466100
1993-03-05,1.182592,1.235152,1.156312,1.235152,1.037443,715300
1993-03-08,1.235152,1.261432,1.208872,1.235152,1.037443,1208100
1993-03-09,1.261432,1.274572,1.235152,1.235152,1.037443,1416300
1993-03-10,1.287712,1.287712,1.235152,1.274572,1.070553,152200
1993-03-11,1.287712,1.287712,1.235152,1.235152,1.037443,66500
1993-03-12,1.287712,1.287712,1.208872,1.261432,1.059516,1313600
1993-03-15,1.235152,1.287712,1.235152,1.287712,1.081589,817000
1993-03-16,1.235152,1.287712,1.235152,1.235152,1.037443,108400
1993-03-17,1.235152,1.287712,1.235152,1.235152,1.037443,329900
1993-03-18,1.261432,1.261432,1.208872,1.208872,1.015369,97000
1993-03-19,1.182592,1.261432,1.182592,1.261432,1.059516,13300
1993-03-22,1.261432,1.261432,1.208872,1.261432,1.059516,36900
1993-03-23,1.261432,1.261432,1.182592,1.208872,1.015369,264400
1993-03-24,1.182592,1.248292,1.182592,1.248292,1.048479,603900
1993-03-25,1.248292,1.248292,1.208872,1.222012,1.026406,90200
1993-03-26,1.248292,1.248292,1.208872,1.222012,1.026406,144500
1993-03-29,1.208872,1.287712,1.208872,1.261432,1.059516,809400
1993-03-30,1.235152,1.287712,1.208872,1.287712,1.081589,667800
1993-03-31,1.287712,1.287712,1.208872,1.287712,1.081589,381300
1993-04-01,1.287712,1.287712,1.261432,1.261432,1.059516,709600
1993-04-02,1.287712,1.287712,1.235152,1.261432,1.059516,182600
1993-04-05,1.235152,1.287712,1.235152,1.261432,1.059516,45600
1993-04-06,1.235152,1.287712,1.235152,1.287712,1.081589,171200
1993-04-07,1.235152,1.340271,1.235152,1.300851,1.092626,531600
1993-04-08,1.287712,1.340271,1.261432,1.261432,1.059516,425100
1993-04-12,1.261432,1.313991,1.208872,1.261432,1.059516,138800
1993-04-13,1.208872,1.261432,1.208872,1.208872,1.015369,142600
1993-04-14,1.261432,1.261432,1.208872,1.208872,1.015369,78000
1993-04-15,1.235152,1.261432,1.208872,1.235152,1.037443,153000
1993-04-16,1.287712,1.287712,1.235152,1.287712,1.081589,131200
1993-04-19,1.235152,1.313991,1.235152,1.274572,1.070553,52200
1993-04-20,1.300851,1.300851,1.261432,1.274572,1.070553,173900
1993-04-21,1.313991,1.313991,1.235152,1.235152,1.037443,95900
1993-04-22,1.261432,1.274572,1.235152,1.235152,1.037443,93200
1993-04-23,1.235152,1.313991,1.235152,1.235152,1.037443,118800
1993-04-26,1.235152,1.235152,1.235152,1.235152,1.037443,40800
